"geo_accession"	"gsatid"
"GSM867961"	"GSM867961"	"g1"
"GSM867962"	"GSM867962"	"g2"
"GSM867963"	"GSM867963"	"g3"
"GSM867964"	"GSM867964"	"g4"
"GSM867965"	"GSM867965"	"g5"
"GSM867966"	"GSM867966"	"g6"
"GSM867941"	"GSM867941"	"g7"
"GSM867940"	"GSM867940"	"g8"
"GSM867947"	"GSM867947"	"g9"
"GSM867948"	"GSM867948"	"g10"
"GSM867949"	"GSM867949"	"g11"
"GSM867938"	"GSM867938"	"g12"
"GSM867950"	"GSM867950"	"g13"
"GSM867945"	"GSM867945"	"g14"
"GSM867946"	"GSM867946"	"g15"
"GSM867943"	"GSM867943"	"g16"
"GSM867944"	"GSM867944"	"g17"
"GSM867942"	"GSM867942"	"g18"
"GSM867952"	"GSM867952"	"g19"
"GSM867954"	"GSM867954"	"g20"
"GSM867968"	"GSM867968"	"g21"
"GSM867967"	"GSM867967"	"g22"
"GSM867981"	"GSM867981"	"g23"
"GSM867980"	"GSM867980"	"g24"
"GSM867982"	"GSM867982"	"g25"
"GSM867983"	"GSM867983"	"g26"
"GSM867985"	"GSM867985"	"g27"
"GSM867984"	"GSM867984"	"g28"
"GSM867987"	"GSM867987"	"g29"
"GSM867986"	"GSM867986"	"g30"
"GSM867970"	"GSM867970"	"g31"
"GSM867969"	"GSM867969"	"g32"
"GSM867972"	"GSM867972"	"g33"
"GSM867971"	"GSM867971"	"g34"
"GSM867974"	"GSM867974"	"g35"
"GSM867973"	"GSM867973"	"g36"
"GSM867976"	"GSM867976"	"g37"
"GSM867975"	"GSM867975"	"g38"
"GSM867977"	"GSM867977"	"g39"
"GSM867979"	"GSM867979"	"g40"
"GSM867978"	"GSM867978"	"g41"
"GSM868007"	"GSM868007"	"g42"
"GSM868021"	"GSM868021"	"g43"
"GSM868012"	"GSM868012"	"g44"
"GSM868023"	"GSM868023"	"g45"
"GSM868024"	"GSM868024"	"g46"
"GSM868013"	"GSM868013"	"g47"
"GSM868010"	"GSM868010"	"g48"
"GSM868011"	"GSM868011"	"g49"
"GSM868016"	"GSM868016"	"g50"
"GSM868022"	"GSM868022"	"g51"
"GSM868025"	"GSM868025"	"g52"
"GSM868015"	"GSM868015"	"g53"
"GSM868019"	"GSM868019"	"g54"
"GSM868020"	"GSM868020"	"g55"
"GSM868018"	"GSM868018"	"g56"
"GSM868017"	"GSM868017"	"g57"
"GSM868008"	"GSM868008"	"g58"
"GSM868026"	"GSM868026"	"g59"
"GSM868009"	"GSM868009"	"g60"
"GSM868027"	"GSM868027"	"g61"
"GSM868087"	"GSM868087"	"g62"
"GSM868086"	"GSM868086"	"g63"
"GSM868081"	"GSM868081"	"g64"
"GSM868083"	"GSM868083"	"g65"
"GSM868080"	"GSM868080"	"g66"
"GSM868082"	"GSM868082"	"g67"
"GSM868029"	"GSM868029"	"g68"
"GSM868088"	"GSM868088"	"g69"
"GSM868051"	"GSM868051"	"g70"
"GSM868050"	"GSM868050"	"g71"
"GSM868055"	"GSM868055"	"g72"
"GSM868076"	"GSM868076"	"g73"
"GSM868078"	"GSM868078"	"g74"
"GSM868075"	"GSM868075"	"g75"
"GSM868077"	"GSM868077"	"g76"
"GSM868031"	"GSM868031"	"g77"
"GSM868030"	"GSM868030"	"g78"
"GSM868085"	"GSM868085"	"g79"
"GSM868084"	"GSM868084"	"g80"
"GSM868035"	"GSM868035"	"g81"
"GSM868037"	"GSM868037"	"g82"
"GSM868034"	"GSM868034"	"g83"
"GSM868036"	"GSM868036"	"g84"
"GSM868046"	"GSM868046"	"g85"
"GSM868071"	"GSM868071"	"g86"
"GSM868070"	"GSM868070"	"g87"
